nbhd,P0020001,P0020005,P0020006,P0020002,P002aapi,P002others,P0040001,P0040005,P0040006,P0040002,P004aapi,P004others,P00x0001,P00x0005,P00x0006,P00x0002,P00xaapi,P00xothers,hhpop,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010,H0010001,H0010002,H0010003,hhsize
field concept,Total:,White alone,Black or African American alone,Hispanic or Latino,"Asian, Native Hawaiian and Pacific Islander alone, all ages","Other Races or Multiple Races,  all ages",Total:,White alone,Black or African American alone,Hispanic or Latino,"Asian, Native Hawaiian and Pacific Islander alone, aged 18+","Other Races or Multiple Races, aged 18+","Total:, aged 0-17","White alone, aged 0-17","Black or African American alone, aged 0-17","Hispanic or Latino, aged 0-17","Asian, Native Hawaiian and Pacific Islander alone, aged 0-17","Other Races or Multiple Races, aged 0-17",household population,Total:,Institutionalized population:,Correctional facilities for adults,Juvenile facilities,Nursing facilities/Skilled-nursing facilities,Other institutional facilities,Noninstitutionalized population:,College/University student housing,Military quarters,Other noninstitutional facilities,Total:,Occupied,Vacant,household size
Allston,28621,14634,1451,3657,7173,1706,26668,14022,1294,3071,6820,1461,1953,612,157,586,353,245,25231,3390,26,0,0,26,0,3364,3214,0,150,12527,11740,787,2.149148211
Back Bay,19588,14056,718,1326,2604,884,18374,13296,669,1205,2473,731,1214,760,49,121,131,153,17618,1970,269,0,0,269,0,1701,1578,0,123,12373,10788,1585,1.633110864
Beacon Hill,9336,7521,252,537,630,396,8603,6980,231,475,615,302,733,541,21,62,15,94,9303,33,0,0,0,0,0,33,0,0,33,6037,5485,552,1.696080219
Brighton,48330,30596,2289,4978,7801,2666,44129,28706,1966,4043,7222,2192,4201,1890,323,935,579,474,44308,4022,309,0,13,240,56,3713,3493,0,220,21874,20822,1052,2.1279416
Charlestown,19120,13626,990,2075,1650,779,15661,11689,662,1387,1404,519,3459,1937,328,688,246,260,19010,110,55,0,0,55,0,55,0,30,25,9525,8932,593,2.128302732
Chinatown,7143,1898,297,477,4281,190,6343,1790,254,412,3721,166,800,108,43,65,560,24,6462,681,224,0,0,224,0,457,443,0,14,3644,3299,345,1.958775386
Dorchester,122191,27411,42714,25285,13360,13421,95365,24327,32678,17390,10875,10095,26826,3084,10036,7895,2485,3326,120678,1513,577,0,286,291,0,936,0,0,936,47965,44823,3142,2.692323138
Downtown,13451,9174,537,961,2286,493,12675,8764,529,877,2128,377,776,410,8,84,158,116,9238,4213,97,0,0,97,0,4116,3283,0,833,6654,5401,1253,1.710423996
East Boston,43066,15760,1403,21700,1932,2271,34826,14039,1136,16256,1714,1681,8240,1721,267,5444,218,590,42813,253,144,0,12,132,0,109,0,0,109,18016,16695,1321,2.564420485
Fenway,37733,20456,2396,3643,9218,2020,36715,20099,2281,3425,9021,1889,1018,357,115,218,197,131,21013,16720,314,53,0,261,0,16406,16197,0,209,13968,12661,1307,1.659663534
Hyde Park,33009,7449,15171,7901,677,1811,26470,6494,12229,5859,562,1326,6539,955,2942,2042,115,485,32808,201,67,0,0,67,0,134,64,0,70,12613,12066,547,2.719045251
Jamaica Plain,41012,22032,4686,8921,2985,2388,34817,19642,3848,6984,2736,1607,6195,2390,838,1937,249,781,39954,1058,529,0,90,319,120,529,160,0,369,18891,17724,1167,2.25423155
Longwood,4096,2573,334,381,657,151,3977,2555,304,347,629,142,119,18,30,34,28,9,800,3296,0,0,0,0,0,3296,3296,0,0,456,425,31,1.882352941
Mattapan,23834,1489,16277,4079,490,1499,18511,1332,12951,2730,394,1104,5323,157,3326,1349,96,395,23486,348,246,86,75,85,0,102,0,0,102,9346,8821,525,2.66250992
Mission Hill,17886,6950,2469,3397,4228,842,15983,6661,1984,2639,3965,734,1903,289,485,758,263,108,16103,1783,116,0,4,112,0,1667,1502,0,165,7139,6820,319,2.361143695
North End,10805,9306,141,528,445,385,10236,8888,132,445,435,336,569,418,9,83,10,49,10616,189,41,0,0,41,0,148,0,116,32,6832,6314,518,1.681343047
Roslindale,29386,13428,6045,7373,1018,1522,23604,11486,4740,5508,876,994,5782,1942,1305,1865,142,528,28882,504,447,0,9,438,0,57,0,0,57,12114,11534,580,2.504074909
Roxbury,54905,7182,22796,16728,3277,4922,43502,6661,18023,12015,3026,3777,11403,521,4773,4713,251,1145,50340,4565,943,742,160,0,41,3622,2520,0,1102,22034,20345,1689,2.474318014
South Boston,37917,29139,1529,3887,2077,1285,33614,26930,1084,2799,1850,951,4303,2209,445,1088,227,334,37548,369,244,0,56,188,0,125,0,0,125,19140,17961,1179,2.090529481
South Boston Waterfront,5579,4315,160,316,482,306,5286,4171,138,270,458,249,293,144,22,46,24,57,5578,1,0,0,0,0,0,1,0,0,1,4622,3624,998,1.539183223
South End,29373,16618,2959,3783,4677,1336,25922,15203,2454,2993,4288,984,3451,1415,505,790,389,352,28667,706,45,0,0,0,45,661,0,0,661,16619,15253,1366,1.879433554
West End,7705,4933,338,613,1440,381,7098,4620,303,531,1347,297,607,313,35,82,93,84,7561,144,91,34,0,0,57,53,0,0,53,5243,4572,671,1.65376203
West Roxbury,31561,20918,3312,3567,2451,1313,25457,17676,2399,2546,2001,835,6104,3242,913,1021,450,478,31056,505,412,0,0,412,0,93,0,0,93,14070,13390,680,2.319342793
