zip_code,city,county
1001,Agawam,Hampden
1002,Amherst,Hampshire
1003,Amherst,Hampshire
1005,Barre,Worcester
1007,Belchertown,Hampshire
1008,Blandford,Hampden
1010,Brimfield,Hampden
1011,Chester,Hampden
1012,Chesterfield,Hampshire
1013,Chicopee,Hampden
1020,Chicopee,Hampden
1022,Chicopee,Hampden
1026,Cummington,Hampshire
1027,Easthampton,Hampshire
1028,East Longmeadow,Hampden
1030,Feeding Hills,Hampden
1031,Gilbertville,Worcester
1032,Goshen,Hampshire
1033,Granby,Hampshire
1034,Granville,Hampden
1035,Hadley,Hampshire
1036,Hampden,Hampden
1038,Hatfield,Hampshire
1039,Haydenville,Hampshire
1040,Holyoke,Hampden
1050,Huntington,Hampshire
1053,Leeds,Hampshire
1054,Leverett,Franklin
1056,Ludlow,Hampden
1057,Monson,Hampden
1060,Northampton,Hampshire
1062,Florence,Hampshire
1063,Northampton,Hampshire
1068,Oakham,Worcester
1069,Palmer,Hampden
1070,Plainfield,Hampshire
1071,Russell,Hampden
1072,Shutesbury,Franklin
1073,Southampton,Hampshire
1075,South Hadley,Hampshire
1077,Southwick,Hampden
1080,Three Rivers,Hampden
1081,Wales,Hampden
1082,Ware,Hampshire
1082,Ware,Hampshire
1085,Westfield,Hampden
1089,West Springfield,Hampden
1095,Wilbraham,Hampden
1096,Williamsburg,Hampshire
1098,Worthington,Hampshire
1103,Springfield,Hampden
1104,Springfield,Hampden
1105,Springfield,Hampden
1106,Longmeadow,Hampden
1107,Springfield,Hampden
1108,Springfield,Hampden
1109,Springfield,Hampden
1111,Springfield,Hampden
1118,Springfield,Hampden
1119,Springfield,Hampden
1128,Springfield,Hampden
1129,Springfield,Hampden
1144,Springfield,Hampden
1151,Indian Orchard,Hampden
1152,Springfield,Hampden
1199,Springfield,Hampden
1201,Pittsfield,Berkshire
1220,Adams,Berkshire
1222,Ashley Falls,Berkshire
1223,Becket,Berkshire
1224,Berkshire,Berkshire
1225,Cheshire,Berkshire
1226,Dalton,Berkshire
1230,Great Barrington,Berkshire
1235,Hinsdale,Berkshire
1236,Housatonic,Berkshire
1237,Lanesborough,Berkshire
1238,Lee,Berkshire
1240,Lenox,Berkshire
1245,Monterey,Berkshire
1247,North Adams,Berkshire
1253,Otis,Berkshire
1254,Richmond,Berkshire
1255,Sandisfield,Berkshire
1257,Sheffield,Berkshire
1259,Southfield,Berkshire
1263,Stockbridge,Berkshire
1266,West Stockbridge,Berkshire
1267,Williamstown,Berkshire
1301,Greenfield,Franklin
1330,Ashfield,Franklin
1331,Athol,Worcester
1337,Bernardston,Franklin
1338,Buckland,Franklin
1339,Charlemont,Franklin
1340,Colrain,Franklin
1341,Conway,Franklin
1342,Deerfield,Franklin
1344,Erving,Franklin
1346,Heath,Franklin
1351,Montague,Franklin
1360,Northfield,Franklin
1364,Orange,Franklin
1366,Petersham,Worcester
1367,Rowe,Franklin
1370,Shelburne Falls,Franklin
1373,South Deerfield,Franklin
1375,Sunderland,Franklin
1376,Turners Falls,Franklin
1378,Warwick,Franklin
1379,Wendell,Franklin
1380,Wendell Depot,Franklin
1420,Fitchburg,Worcester
1430,Ashburnham,Worcester
1431,Ashby,Middlesex
1432,Ayer,Middlesex
1434,Devens,Middlesex
1436,Baldwinville,Worcester
1440,Gardner,Worcester
1441,Westminster,Worcester
1450,Groton,Middlesex
1451,Harvard,Worcester
1452,Hubbardston,Worcester
1453,Leominster,Worcester
1460,Littleton,Middlesex
1462,Lunenburg,Worcester
1463,Pepperell,Middlesex
1464,Shirley,Middlesex
1468,Templeton,Worcester
1469,Townsend,Middlesex
1470,Groton,Middlesex
1471,Groton,Middlesex
1473,Westminster,Worcester
1474,West Townsend,Middlesex
1475,Winchendon,Worcester
1501,Auburn,Worcester
1503,Berlin,Worcester
1504,Blackstone,Worcester
1505,Boylston,Worcester
1506,Brookfield,Worcester
1507,Charlton,Worcester
1510,Clinton,Worcester
1515,East Brookfield,Worcester
1516,Douglas,Worcester
1518,Fiskdale,Worcester
1518,Fiskdale,Worcester
1519,Grafton,Worcester
1520,Holden,Worcester
1521,Holland,Hampden
1522,Jefferson,Worcester
1523,Lancaster,Worcester
1524,Leicester,Worcester
1527,Millbury,Worcester
1529,Millville,Worcester
1531,New Braintree,Worcester
1532,Northborough,Worcester
1534,Northbridge,Worcester
1535,North Brookfield,Worcester
1536,North Grafton,Worcester
1537,North Oxford,Worcester
1540,Oxford,Worcester
1541,Princeton,Worcester
1542,Rochdale,Worcester
1543,Rutland,Worcester
1545,Shrewsbury,Worcester
1546,Shrewsbury,Worcester
1550,Southbridge,Worcester
1560,South Grafton,Worcester
1562,Spencer,Worcester
1564,Sterling,Worcester
1566,Sturbridge,Worcester
1568,Upton,Worcester
1569,Uxbridge,Worcester
1570,Webster,Worcester
1581,Westborough,Worcester
1583,West Boylston,Worcester
1585,West Brookfield,Worcester
1588,Whitinsville,Worcester
1590,Sutton,Worcester
1602,Worcester,Worcester
1603,Worcester,Worcester
1604,Worcester,Worcester
1605,Worcester,Worcester
1606,Worcester,Worcester
1607,Worcester,Worcester
1608,Worcester,Worcester
1609,Worcester,Worcester
1610,Worcester,Worcester
1612,Paxton,Worcester
1653,Worcester,Worcester
1655,Worcester,Worcester
1701,Framingham,Middlesex
1702,Framingham,Middlesex
1718,Acton,Middlesex
1719,Boxborough,Middlesex
1720,Acton,Middlesex
1721,Ashland,Middlesex
1730,Bedford,Middlesex
1731,Hanscom Afb,Middlesex
1740,Bolton,Worcester
1741,Carlisle,Middlesex
1742,Concord,Middlesex
1745,Fayville,Worcester
1746,Holliston,Middlesex
1747,Hopedale,Worcester
1748,Hopkinton,Middlesex
1749,Hudson,Middlesex
1752,Marlborough,Middlesex
1754,Maynard,Middlesex
1756,Mendon,Worcester
1757,Milford,Worcester
1760,Natick,Middlesex
1770,Sherborn,Middlesex
1772,Southborough,Worcester
1773,Lincoln,Middlesex
1775,Stow,Middlesex
1776,Sudbury,Middlesex
1778,Wayland,Middlesex
1801,Woburn,Middlesex
1803,Burlington,Middlesex
1805,Burlington,Middlesex
1810,Andover,Essex
1812,Andover,Essex
1813,Woburn,Middlesex
1815,Woburn,Middlesex
1821,Billerica,Middlesex
1824,Chelmsford,Middlesex
1826,Dracut,Middlesex
1827,Dunstable,Middlesex
1830,Haverhill,Essex
1832,Haverhill,Essex
1833,Georgetown,Essex
1835,Haverhill,Essex
1840,Lawrence,Essex
1841,Lawrence,Essex
1843,Lawrence,Essex
1850,Lowell,Middlesex
1851,Lowell,Middlesex
1852,Lowell,Middlesex
1854,Lowell,Middlesex
1860,Merrimac,Essex
1862,North Billerica,Middlesex
1863,North Chelmsford,Middlesex
1864,North Reading,Middlesex
1867,Reading,Middlesex
1876,Tewksbury,Middlesex
1879,Tyngsboro,Middlesex
1880,Wakefield,Middlesex
1886,Westford,Middlesex
1887,Wilmington,Middlesex
1889,North Reading,Middlesex
1890,Winchester,Middlesex
1899,Andover,Essex
1901,Lynn,Essex
1902,Lynn,Essex
1904,Lynn,Essex
1905,Lynn,Essex
1910,Lynn,Essex
1913,Amesbury,Essex
1915,Beverly,Essex
1921,Boxford,Essex
1922,Byfield,Essex
1923,Danvers,Essex
1929,Essex,Essex
1930,Gloucester,Essex
1938,Ipswich,Essex
1940,Lynnfield,Essex
1944,Manchester,Essex
1945,Marblehead,Essex
1949,Middleton,Essex
1950,Newburyport,Essex
1951,Newbury,Essex
1960,Peabody,Essex
1966,Rockport,Essex
1969,Rowley,Essex
1970,Salem,Essex
1982,South Hamilton,Essex
1983,Topsfield,Essex
1984,Wenham,Essex
1985,West Newbury,Essex
2019,Bellingham,Norfolk
2021,Canton,Norfolk
2025,Cohasset,Norfolk
2026,Dedham,Norfolk
2030,Dover,Norfolk
2032,East Walpole,Norfolk
2035,Foxboro,Norfolk
2038,Franklin,Norfolk
2043,Hingham,Plymouth
2044,Hingham,Plymouth
2045,Hull,Plymouth
2048,Mansfield,Bristol
2050,Marshfield,Plymouth
2052,Medfield,Norfolk
2053,Medway,Norfolk
2054,Millis,Norfolk
2056,Norfolk,Norfolk
2061,Norwell,Plymouth
2062,Norwood,Norfolk
2066,Scituate,Plymouth
2067,Sharon,Norfolk
2071,South Walpole,Norfolk
2072,Stoughton,Norfolk
2081,Walpole,Norfolk
2090,Westwood,Norfolk
2093,Wrentham,Norfolk
2108,Boston,Suffolk
2109,Boston,Suffolk
2110,Boston,Suffolk
2111,Boston,Suffolk
2113,Boston,Suffolk
2114,Boston,Suffolk
2115,Boston,Suffolk
2116,Boston,Suffolk
2118,Boston,Suffolk
2119,Roxbury,Suffolk
2120,Roxbury Crossing,Suffolk
2121,Dorchester,Suffolk
2122,Dorchester,Suffolk
2124,Dorchester Center,Suffolk
2125,Dorchester,Suffolk
2126,Mattapan,Suffolk
2127,South Boston,Suffolk
2128,East Boston,Suffolk
2129,Charlestown,Suffolk
2130,Jamaica Plain,Suffolk
2131,Roslindale,Suffolk
2132,West Roxbury,Suffolk
2133,Boston,Suffolk
2134,Allston,Suffolk
2135,Brighton,Suffolk
2136,Hyde Park,Suffolk
2138,Cambridge,Middlesex
2139,Cambridge,Middlesex
2140,Cambridge,Middlesex
2141,Cambridge,Middlesex
2142,Cambridge,Middlesex
2163,Boston,Suffolk
2163,Boston,Suffolk
2199,Boston,Suffolk
2201,Boston,Suffolk
2203,Boston,Suffolk
2204,Boston,Suffolk
2206,Boston,Suffolk
2210,Boston,Suffolk
2211,Boston,Suffolk
2212,Boston,Suffolk
2215,Boston,Suffolk
2217,Boston,Suffolk
2222,Boston,Suffolk
2241,Boston,Suffolk
2266,Boston,Suffolk
2293,Boston,Suffolk
2297,Boston,Suffolk
2301,Brockton,Plymouth
2302,Brockton,Plymouth
2322,Avon,Norfolk
2324,Bridgewater,Plymouth
2325,Bridgewater,Plymouth
2330,Carver,Plymouth
2332,Duxbury,Plymouth
2333,East Bridgewater,Plymouth
2338,Halifax,Plymouth
2339,Hanover,Plymouth
2341,Hanson,Plymouth
2343,Holbrook,Norfolk
2344,Middleboro,Plymouth
2346,Middleboro,Plymouth
2348,Lakeville,Plymouth
2349,Middleboro,Plymouth
2351,Abington,Plymouth
2356,North Easton,Bristol
2357,North Easton,Bristol
2359,Pembroke,Plymouth
2360,Plymouth,Plymouth
2367,Plympton,Plymouth
2368,Randolph,Norfolk
2370,Rockland,Plymouth
2375,South Easton,Bristol
2379,West Bridgewater,Plymouth
2382,Whitman,Plymouth
2467,Chestnut Hill,
2532,Buzzards Bay,Barnstable
2535,Chilmark,Dukes
2536,East Falmouth,Barnstable
2537,East Sandwich,Barnstable
2538,East Wareham,Plymouth
2539,Edgartown,Dukes
2540,Falmouth,Barnstable
2542,Buzzards Bay,Barnstable
2543,Woods Hole,Barnstable
2554,Nantucket,Nantucket
2556,North Falmouth,Barnstable
2559,Pocasset,Barnstable
2562,Sagamore Beach,Barnstable
2563,Sandwich,Barnstable
2568,Vineyard Haven,Dukes
2571,Wareham,Plymouth
2576,West Wareham,Plymouth
2601,Hyannis,Barnstable
2630,Barnstable,Barnstable
2631,Brewster,Barnstable
2632,Centerville,Barnstable
2633,Chatham,Barnstable
2635,Cotuit,Barnstable
2638,Dennis,Barnstable
2639,Dennis Port,Barnstable
2642,Eastham,Barnstable
2644,Forestdale,Barnstable
2645,Harwich,Barnstable
2646,Harwich Port,Barnstable
2648,Marstons Mills,Barnstable
2649,Mashpee,Barnstable
2650,North Chatham,Barnstable
2653,Orleans,Barnstable
2655,Osterville,Barnstable
2657,Provincetown,Barnstable
2659,South Chatham,Barnstable
2660,South Dennis,Barnstable
2664,South Yarmouth,Barnstable
2667,Wellfleet,Barnstable
2668,West Barnstable,Barnstable
2670,West Dennis,Barnstable
2671,West Harwich,Barnstable
2675,Yarmouth Port,Barnstable
2702,Assonet,Bristol
2703,Attleboro,Bristol
2715,Dighton,Bristol
2717,East Freetown,Bristol
2719,Fairhaven,Bristol
2720,Fall River,Bristol
2721,Fall River,Bristol
2723,Fall River,Bristol
2724,Fall River,Bristol
2738,Marion,Plymouth
2739,Mattapoisett,Plymouth
2740,New Bedford,Bristol
2743,Acushnet,Bristol
2744,New Bedford,Bristol
2745,New Bedford,Bristol
2746,New Bedford,Bristol
2760,North Attleboro,Bristol
2763,Attleboro Falls,Bristol
2764,North Dighton,Bristol
2766,Norton,Bristol
2767,Raynham,Bristol
2769,Rehoboth,Bristol
2770,Rochester,Plymouth
2771,Seekonk,Bristol
2777,Swansea,Bristol
2780,Taunton,Bristol
2790,Westport,Bristol
5501,Andover,Essex
