Zip Code,Counts,纬度(自动生成),经度(自动生成)
02467,6,42.3167,-71.1605
02215,221,42.3483,-71.1072
02210,145,42.347,-71.041
02203,1,42.361,-71.0592
02201,2,42.3604,-71.0579
02199,30,42.3466,-71.0827
02163,5,42.366,-71.1214
02148,1,42.4306,-71.0577
02140,1,42.3934,-71.1341
02136,39,42.2546,-71.1253
02135,157,42.3486,-71.1548
02134,148,42.3589,-71.1292
02132,59,42.2784,-71.16
02131,63,42.2838,-71.125
02130,95,42.3079,-71.1127
02129,40,42.3792,-71.0644
02128,217,42.3719,-71.0151
02127,100,42.3359,-71.0421
02126,38,42.2765,-71.093
02125,81,42.3167,-71.0567
02124,71,42.2858,-71.0718
02122,64,42.2944,-71.0527
02121,33,42.3074,-71.0828
02120,36,42.3326,-71.0957
02119,63,42.324,-71.085
02118,101,42.3379,-71.0698
02117,1,42.3495,-71.0729
02116,236,42.3492,-71.0745
02115,172,42.341,-71.0941
02114,207,42.3622,-71.0664
02113,91,42.3643,-71.0575
02111,142,42.3507,-71.0592
02110,155,42.3565,-71.0544
02109,106,42.363,-71.054
02108,99,42.3563,-71.066
